Sr No, Divison, Spec Number, Spec Name, Page No, Spec Sub Section, Document Type, Descriptions
0, 01 - General Requirements, 01 31 00, PROJECT MANAGEMENT AND COORDINATION ,16, S-1.4, Attic Stock,   General: Prepare coordination drawings for areas
1, 01 - General Requirements, 01 32 00, CONSTRUCTION PROGRESS DOCUMENTATION ,22, S-1.3, Test-Reports,  Construction schedule updates: 1. During progress
2, 01 - General Requirements, 01 32 00, CONSTRUCTION PROGRESS DOCUMENTATION ,22, S-1.5, O&M Data,  Observe and maintain a record of tests. Record th
3, 01 - General Requirements, 01 33 00, SUBMITTAL PROCEDURES ,25, S-1.7, Attic Stock,  General: Provide accurately prepared; large scale
4, 01 - General Requirements, 01 33 00, SUBMITTAL PROCEDURES ,25, S-1.8, Test-Reports,  Submit Product data as specified; and as the Arch
5, 01 - General Requirements, 01 45 29, TESTING LABORATORY SERVICES ,48, S-1.4, Test-Reports,  Cooperate with Architect and Contractor in perfor
6, 01 - General Requirements, 01 45 29, TESTING LABORATORY SERVICES ,48, S-1.5, Test-Reports,  After each test; promptly distribute directly fro
7, 01 - General Requirements, 01 45 29, TESTING LABORATORY SERVICES ,48, S-1.8, Test-Reports,  The Contractor shall notify the Architect; and Te
8, 01 - General Requirements, 01 50 00, TEMPORARY FACILITIES AND CONTROLS ,56, S-1.3, Test-Reports,  Submit the following under provisions of Section 
9, 01 - General Requirements, 01 73 00, EXECUTION ,70, S-1.6, O&M Data,  Maintain traffic and parking areas in a sound con
10, 01 - General Requirements, 01 73 29, CUTTING AND PATCHING ,76, S-1.5, Warranty,  Existing Warranties: Replace; patch; and repair m
11, 01 - General Requirements, 01 75 00, STARTING AND ADJUSTING ,91, S-1.1, Test-Reports,  General: Adjust operating products and equipment 
12, 01 - General Requirements, 01 77 00, CLOSEOUT PROCEDURES ,92, S-1.1, O&M Data,  Definitions: 1. Contractor’s Punch List: Complete
13, 01 - General Requirements, 01 77 00, CLOSEOUT PROCEDURES ,92, S-1.2, Test-Reports,  Prior to requesting inspection for certification 
14, 01 - General Requirements, 01 77 00, CLOSEOUT PROCEDURES ,92, S-1.3, Attic Stock,  Prior to requesting inspection for certification 
15, 01 - General Requirements, 01 77 00, CLOSEOUT PROCEDURES ,92, S-1.3, Keys,  Prior to requesting inspection for certification 
16, 01 - General Requirements, 01 77 00, CLOSEOUT PROCEDURES ,92, S-1.3, O&M Data,  Prior to requesting inspection for certification 
17, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.1, Attic Stock,  Project record documents.   Record Project Manual
18, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.1, O&M Data,  Project record documents.   Record Project Manual
19, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.3, O&M Data,  General: Record documents shall reflect actual “a
20, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.3, Test-Reports,  General: Record documents shall reflect actual “a
21, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.4A, Warranty,  Furnish Architect with the following quantities o
22, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.4, O&M Data,  Furnish Architect with the following quantities o
23, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.4, Test-Reports,  Furnish Architect with the following quantities o
